기간,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,최대,최소,가중평균
2025/08/23,117.47,112.32,112.32,84.66,84.66,84.66,84.66,114.16,116,116.54,116.8,116.8,117.31,117.31,117.31,117.31,116.8,117.31,134.48,134.48,134.48,121.97,121.97,121.65,134.48,84.66,115.7
2025/08/22,124.24,111.99,110.68,108.31,108.42,108.84,111.65,117.45,117.27,119.81,119.85,121.02,120.24,122.26,122.3,128.8,123,122.7,140.05,136.87,134.15,119.86,121.65,121.59,140.05,108.31,121.7
2025/08/21,110.12,99.89,92.58,90.51,88.27,90.89,114.84,119.41,115.09,119.74,119.78,121.1,119.78,121.6,121.96,121.4,132.45,134.3,134.73,134.73,134.73,121.1,118.94,118.62,134.73,88.27,118.78
2025/08/20,110.18,99.91,95.34,90.51,90.51,84.24,114.7,122.68,115.47,118.17,118.26,120.83,118.22,120.68,121.8,125.84,131.4,131.53,131.84,131.91,118.79,118.04,115.87,115.16,131.91,84.24,117.02
2025/08/19,130.16,111.48,111.48,110.88,111.48,111.48,117.11,119.31,119.09,120.22,129.2,121.35,121.11,130.49,131.24,131.24,131.85,132.46,131.85,131.72,131.72,121.15,121.09,118.53,132.46,110.88,124.03
2025/08/18,115.59,76.45,76.45,76.45,76.45,76.45,76.45,115.59,118.73,118.73,118.73,118.73,118.22,118.22,121.37,135.15,123.69,124.48,124.51,124.13,119.4,131.6,118.73,118.73,135.15,76.45,112.93
2025/08/17,117.46,118.98,113.96,77.12,114.22,77.12,76.63,116.06,115.92,121.01,121.01,121.01,120.5,120.5,120.5,120.5,120.5,119.75,121.01,121.01,121.01,121.01,118.43,116.06,121.01,76.63,115.04
2025/08/16,115.86,114.02,117.67,110.85,77.24,77.18,77.18,115.86,115.86,118.84,117.7,118.84,118.44,118.44,118.44,118.44,118.44,118.44,118.84,118.84,118.84,117.7,118.84,117.7,118.84,77.18,113.74
2025/08/15,114.99,114.99,116.83,111.29,111.29,111.29,114.99,117.35,114.99,118.14,118.09,117.92,117.92,117.82,117.82,117.82,117.8,117.92,125.51,125.88,119.32,134.46,120.1,116.83,134.46,111.29,118.48
2025/08/14,115.01,113.17,113.17,113.17,107.66,84.24,119.66,120.16,116.65,118.02,118.95,120.34,120.34,153.99,118.02,118.02,118.95,120.2,132.11,132.11,117.43,116.68,120.16,116.65,153.99,84.24,119.43
2025/08/13,109.8,97.86,96.02,90.51,84.24,84.24,109.29,116.93,115.1,131.69,131.69,120.83,120.68,120.68,117.91,117.91,119.4,117.91,117.91,117.91,120,116.65,116.43,116.43,131.69,84.24,114.43
2025/08/12,118.26,84.35,84.34,84.33,84.34,84.35,95.63,118.33,119.27,125.52,125.59,125.59,125.5,125.51,119.52,128.39,119.56,119.56,120.26,120.28,119.27,119.27,119.4,116.85,128.39,84.33,114.68
2025/08/11,117.09,75.19,75.19,75.19,75.19,75.12,75.19,118.5,118.5,120.92,120.92,120.92,120.48,120.48,149.52,120.48,122.04,122.04,132.23,130.98,120.92,120.92,120.92,118.5,149.52,75.12,115.16
2025/08/10,119.26,79.57,77.29,76.5,76.5,76.5,76.5,76.5,76.5,119.47,120.89,123.06,122.93,122.93,122.88,122.88,122.93,159.63,123.14,123.32,123.32,121.86,120.89,120.89,159.63,76.5,111.93
2025/08/09,117.4,115.99,113.28,78.56,78.56,78.56,78.56,116.56,118.82,121.37,121.24,121.24,121.24,121.24,154.75,121.37,121.5,118.82,121.5,121.55,121.55,118.82,119.5,118.82,154.75,78.56,116.31
2025/08/08,115.07,113.24,109.56,84.37,84.37,84.37,109.9,117.54,118.39,133.53,133.66,117.99,117.88,117.88,119.92,120.17,120.17,120.17,133.08,133.21,133.21,118.56,118.56,118.56,133.66,84.37,118.25
2025/08/07,114.5,85.47,81.87,81.87,81.87,81.87,114.5,120.01,123.19,121.26,124.25,124.25,120.98,124.25,124.25,124.25,130.86,134.89,133.65,132.84,132.84,132.84,121.66,118.18,134.89,81.87,118.85
2025/08/06,114.95,84.4,84.38,84.37,84.38,84.36,116.04,118.27,127.74,118.97,118.97,118.97,118.1,120.38,125.52,135.43,123.62,119.69,119.64,119.64,119.21,119.6,118.27,118.43,135.43,84.36,115.22
2025/08/05,115.29,76.29,75.82,75.82,75.82,75.82,115.29,118.44,118.38,118.38,118.21,119.75,118.61,118.13,120.77,124.83,125.05,125.18,125.12,125.04,119.21,118.44,118.61,118.61,125.18,75.82,113.36
2025/08/04,116.43,114.79,112.95,107.44,88.57,107.44,118.82,118.82,119.09,120.23,150.33,128.82,122.33,128.76,130.31,130.31,130.36,130.66,131.69,131.69,128.76,119.08,119.08,118.77,150.33,88.57,123.6
2025/08/03,115.93,116.11,115.93,108.55,76.5,108.95,115.93,114.09,115.93,116.9,116.73,118.18,125.37,125.89,122.95,122.4,120.45,120.51,139.25,132.62,132,122.38,156.78,117.41,156.78,76.5,121.23
2025/08/02,115.5,115.5,113.48,111.64,111.64,111.64,113.48,115.32,116.29,116.93,122.45,122.55,123.5,123.5,123.41,122.41,118.12,118.29,122.11,147.41,140.05,120.06,116.93,116.87,147.41,111.64,120.77
2025/08/01,116.19,113.1,113.1,109.42,111.26,113.1,113.1,119.33,119.15,119.04,118.97,120.34,120.34,120.34,126.65,129.98,133.81,133.81,134.24,134.24,134.24,117,116.94,116.92,134.24,109.42,122.18
2025/07/31,117.02,115.16,92.82,92.82,92.82,92.78,121.05,120.54,119.86,122.42,126.92,126.92,121.92,128.14,128.14,134.9,134.9,134.9,135.22,135.22,135.22,119.77,119.86,119.97,135.22,92.78,122.28
2025/07/30,132.02,113,114.86,109.28,109.28,111.14,121.18,120.66,119.39,125.4,128.22,130.06,127.34,128.47,133.95,133.95,133.94,133.89,128.82,128.97,125.99,122.59,121.08,119.1,133.95,109.28,124.86
2025/07/29,108.83,96.44,92,91.07,92,93.98,98.82,120.91,120.66,121.23,125.21,128.65,128.57,133,133,147.25,147.25,133.11,133.43,133.43,133.43,121.43,120.67,120.34,147.25,91.07,122.36
2025/07/28,97.13,96.44,81.17,81.17,81.17,91.55,98.74,99.66,120.62,121.22,122.51,123.32,123.24,123.26,132.33,134.95,134.95,134.95,135.09,135.22,135.22,122.82,122.73,122.71,135.22,81.17,118.77
2025/07/27,117.57,117.57,93.31,91.17,88.49,90.97,93.32,117.57,120.42,120.25,127.79,120.02,120.02,123.71,123.71,131.11,123.7,123.69,130.45,145.68,124.94,120.54,120.71,120.71,145.68,88.49,118.87
2025/07/26,116.27,118.25,114.99,92.56,92.65,112.54,116.27,119.39,119.11,118.94,120.32,120.72,120.72,123.96,123.96,123.96,123.96,138.6,138.34,123.9,123.92,120.32,130.99,130.67,138.6,92.56,121.39
2025/07/25,100.34,93.13,88.18,86.07,83.18,85.41,93.36,99.3,116.91,122.02,123.82,127.6,122.49,126.48,130.7,135.46,135.46,135.57,135.89,135.89,122.14,121.72,121.34,121.34,135.89,83.18,118.46
2025/07/24,100.78,93.06,92.97,82.17,82.17,92.57,93.22,100.31,119.36,121.21,124.27,124.17,120.31,124.06,124.81,136.91,136.91,135.29,135.73,135.73,135.73,121.88,117.56,116.7,136.91,82.17,118.38
2025/07/23,100.65,93.05,93.05,92.45,83.48,92.84,93.04,99.57,119.01,120.57,121.29,128.1,123.38,124.73,151.6,151.61,135.71,132.98,133.25,133.25,133.25,133.25,117.12,116.26,151.61,83.48,120.51
2025/07/22,125.12,114.68,92.69,91.62,90.53,91.62,110.96,118.4,119.89,121.17,125.83,127.06,121.84,125.88,126.03,147.3,132.44,147.3,147.3,136.12,132.43,132.24,121.15,121.15,147.3,90.53,123.88
2025/07/21,118.53,81.37,80.72,79.9,79.9,79.9,93.11,118.53,121.48,122.91,124.24,125.48,124.24,131.39,155.93,133.36,133.36,133.36,124.24,135.23,121.97,133.84,121.78,121.75,155.93,79.9,119.68
2025/07/20,100.05,81.64,79.27,77.73,79.38,79.38,79.38,79.38,93.33,93.97,101.44,118.41,118.43,121.92,121.92,121.92,121.9,121.86,121.86,136.05,136.21,135.94,101.48,100.54,136.21,77.73,107.88
2025/07/19,94.2,83.45,81.01,81.01,81.01,81.01,81.01,81.01,93.11,99.99,120.72,120.73,123.62,123.81,123.26,120.73,120.71,111.58,111.61,111.97,111.17,100,99.57,93.76,123.81,81.01,104.08
2025/07/18,94.15,93.08,83.48,83.48,83.48,92.61,98.97,99.93,126.63,134.74,135.64,134.61,126.68,134.66,134.66,134.4,131.25,131.25,118.11,118.09,118.07,118.07,107.9,93.44,135.64,83.48,115.93
2025/07/17,100.71,92.94,92.55,92.64,92.61,92.64,98.51,100.71,125.07,125.07,134.21,134.21,123.69,134.21,134.21,134.21,125.22,125.38,125.29,135.51,125.07,125.03,125.2,109.54,135.51,92.55,118.76
2025/07/16,119.51,92.62,84.76,85.32,84.76,85.57,113.9,117.61,127.64,133.62,133.58,133.58,123.18,133.58,133.6,133.6,127.81,127.81,127.81,135.45,127.83,127.81,127.73,115.76,135.45,84.76,121.11
2025/07/15,118.2,92,89.49,90.04,89.57,89.4,114.94,122.41,125.39,127.79,131.16,128.8,128.6,130.22,127.72,127.72,125.36,125.35,125.39,133.41,125.39,125.39,125.38,121.05,133.41,89.4,120.09
2025/07/14,118.62,113.98,93.12,92.67,82.78,92.62,110.26,115.84,121.19,121.83,123.13,123,121.8,123.05,132.55,132.55,132.55,132.97,133.17,135.28,122.87,121.65,121.59,121.58,135.28,82.78,120.57
2025/07/13,118.84,93.42,92.9,90.81,90.67,90.81,92.96,114.52,121.97,121.8,121.68,121.51,121.46,128.74,126.83,127,121.46,131.78,131.81,121.97,122.03,122.2,131.81,118.84,131.81,90.67,117.61
